id,x,y,z
1.0,0.0,0.0,-300.4
2.0,6.1078,8.407,-300.2202
3.0,9.8827,-3.211,-300.2202
4.0,0.0,-10.391,-300.2202
5.0,-9.8827,-3.211,-300.2202
6.0,-6.1078,8.407,-300.2202
7.0,0.0,16.818,-299.9289
8.0,12.2084,16.804,-299.6811
9.0,15.9942,5.197,-299.9289
10.0,19.7536,-6.418,-299.6811
11.0,9.885,-13.605,-299.9289
12.0,0.0,-20.77,-299.6811
13.0,-9.885,-13.605,-299.9289
14.0,-19.7536,-6.418,-299.6811
15.0,-15.9942,5.197,-299.9289
16.0,-12.2084,16.804,-299.6811
17.0,-6.1079,25.236,-299.2759
18.0,6.1079,25.236,-299.2759
19.0,18.2943,25.18,-298.7833
20.0,22.1129,13.607,-299.2759
21.0,25.8877,1.99,-299.2759
22.0,29.6008,-9.617,-298.7833
23.0,19.7744,-16.825,-299.2759
24.0,9.8916,-24.006,-299.2759
25.0,0.0,-31.124,-298.7833
26.0,-9.8916,-24.006,-299.2759
27.0,-19.7744,-16.825,-299.2759
28.0,-29.6008,-9.617,-298.7833
29.0,-25.8877,1.99,-299.2759
30.0,-22.1129,13.607,-299.2759
31.0,-18.2943,25.18,-298.7833
32.0,-12.1892,33.61,-298.265
33.0,0.0,33.638,-298.5108
34.0,12.1892,33.61,-298.265
35.0,24.3583,33.527,-297.5279
36.0,28.1978,21.979,-298.265
37.0,31.9908,10.395,-298.5108
38.0,35.7311,-1.206,-298.265
39.0,39.4126,-12.806,-297.5279
40.0,29.6164,-20.026,-298.265
41.0,19.7714,-27.213,-298.5108
42.0,9.8938,-34.355,-298.265
43.0,0.0,-41.44,-297.5279
44.0,-9.8938,-34.355,-298.265
45.0,-19.7714,-27.213,-298.5108
46.0,-29.6164,-20.026,-298.265
47.0,-39.4126,-12.806,-297.5279
48.0,-35.7311,-1.206,-298.265
49.0,-31.9908,10.395,-298.5108
50.0,-28.1978,21.979,-298.265
51.0,-24.3583,33.527,-297.5279
52.0,-18.2947,42.054,-296.8788
53.0,-6.1082,42.109,-297.3714
54.0,6.1082,42.109,-297.3714
55.0,18.2947,42.054,-296.8788
56.0,30.3932,41.833,-295.9163
57.0,34.3416,30.395,-296.8788
58.0,38.1602,18.822,-297.3714
59.0,41.9353,7.203,-297.3714
60.0,45.6484,-4.404,-296.8788
61.0,49.1772,-15.978,-295.9163
62.0,39.519,-23.268,-296.8788
63.0,29.6925,-30.476,-297.3714
64.0,19.8093,-37.657,-297.3714
65.0,9.9175,-44.775,-296.8788
66.0,0.0,-51.708,-295.9163
67.0,-9.9175,-44.775,-296.8788
68.0,-19.8093,-37.657,-297.3714
69.0,-29.6925,-30.476,-297.3714
70.0,-39.519,-23.268,-296.8788
71.0,-49.1772,-15.978,-295.9163
72.0,-45.6484,-4.404,-296.8788
73.0,-41.9353,7.203,-297.3714
74.0,-38.1602,18.822,-297.3714
75.0,-34.3416,30.395,-296.8788
76.0,-30.3932,41.833,-295.9163
77.0,-24.3201,50.35,-295.1501
78.0,-12.2089,50.529,-295.8681
79.0,0.0,50.571,-296.1128
80.0,12.2089,50.529,-295.8681
81.0,24.3201,50.35,-295.1501
82.0,36.3917,50.089,-293.9506
83.0,40.3703,38.689,-295.1501
84.0,44.283,27.226,-295.8681
85.0,48.0955,15.628,-296.1128
86.0,51.8285,4.003,-295.8681
87.0,55.4009,-7.57,-295.1501
88.0,58.883,-19.132,-293.9506
89.0,49.2703,-26.439,-295.1501
90.0,39.5773,-33.702,-295.8681
91.0,29.7247,-40.912,-296.1128
92.0,19.8229,-48.054,-295.8681
93.0,9.9195,-55.029,-295.1501
94.0,0.0,-61.913,-293.9506
95.0,-9.9195,-55.029,-295.1501
96.0,-19.8229,-48.054,-295.8681
97.0,-29.7247,-40.912,-296.1128
98.0,-39.5773,-33.702,-295.8681
99.0,-49.2703,-26.439,-295.1501
100.0,-58.883,-19.132,-293.9506
101.0,-55.4009,-7.57,-295.1501
102.0,-51.8285,4.003,-295.8681
103.0,-48.0955,15.628,-296.1128
104.0,-44.283,27.226,-295.8681
105.0,-40.3703,38.689,-295.1501
106.0,-36.3917,50.089,-293.9506
107.0,-30.3164,58.614,-293.0623
108.0,-18.2175,58.833,-294.0187
